Institute,Course,State,Category,Quota,Course_Type,Institute_Type,Annual_Fees,Stipend_Year1,Bond_Years,Bond_Amount,Total_Beds
"ACSR MEDICAL COLLEGE, NELLORE",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,355.0
"ACSR MEDICAL COLLEGE, NELLORE",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,355.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL_PH,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC_PH,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ALLURI SITARAM RAJU, ELURU",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1200.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC_PH,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC_PH,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
