QUOTA,CATEGORY,STATE,INSTITUTE,COURSE,FEE,STIPEND YEAR 1,BOND YEARS,BOND PENALTY,BEDS,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,"₹ 69,470","₹57,876",1,"₹ 50,00,000",3025,350,564,564,-,-,19,19,19,-,-
AIQ,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,13,13,13,-,-,25,25,25,-,-
AIQ,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,41,41,41,-,-,31,31,31,-,-
AIQ,GEN,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2250,35,35,35,-,-,34,34,34,-,-
AIQ,GEN,Delhi,"ABVIMS , Delhi",RADIO DIAGNOSIS,"₹ 41,000","₹ 1,20,965",0,₹ 0,1626,67,75,75,-,-,46,46,46,-,-
AIQ,OBC,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,116,116,116,-,-,48,48,48,-,-
AIQ,GEN,Delhi,"ABVIMS , Delhi",GENERAL MEDICINE,"₹ 41,000","₹ 1,20,965",0,₹ 0,1626,56,56,56,-,-,38,49,49,-,-
AIQ,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,75,84,84,-,-,53,53,53,-,-
AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,44,44,44,-,-,39,64,64,-,-
AIQ,EWS,Delhi,"ABVIMS , Delhi",GENERAL MEDICINE,"₹ 41,000","₹ 1,20,965",0,₹ 0,1626,118,118,118,-,-,51,66,66,-,-
AIQ,GEN,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹ 50,000","₹ 52,451",2,"₹ 40,00,000",7285,229,229,229,-,-,50,50,73,-,-
AIQ,GEN,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,1000,97,198,79,-,-,79,79,82,-,-
AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL MEDICINE,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,93,93,93,-,-,83,93,93,-,-
AIQ,GEN,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,"₹ 50,000","₹ 52,451",2,"₹ 40,00,000",1661,379,379,379,-,-,94,94,94,-,-
AIQ,GEN,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,714,79,97,97,-,-,101,101,101,-,-
AIQ,GEN,Uttar Pradesh,"IMS, Varanasi",RADIO DIAGNOSIS,"₹ 48,226","₹ 1,00,706",0,₹0,1165,159,159,159,-,-,102,102,102,-,-
AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1462,94,120,120,-,-,106,106,106,-,-
AIQ,GEN,Delhi,"VMMC, Delhi",DERMATOLOGY,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,-,-,-,-,-,108,108,108,-,-
DU,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,211,211,211,-,-,103,103,111,-,-
AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,"₹ 1,24,150","₹56,250",3,"₹ 50,00,000",1993,634,634,634,-,-,113,113,113,-,-
AIQ,GEN,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹ 72,000","₹1,11,780",1,"₹20,00,000",1498,105,105,105,-,-,117,117,117,-,-
AIQ,GEN,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹ 34,500","₹ 1,07,000",0,₹0,967,206,206,206,-,-,119,119,119,-,-
DU,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,162,162,162,-,-,165,165,126,-,-
AIQ,GEN,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2250,173,283,283,-,-,127,127,127,-,-
AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2844,219,280,280,-,-,130,134,134,-,-
AIQ,GEN,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,"₹ 61,600","₹1,11,780",2,"₹ 40,00,000",1609,89,89,89,-,-,135,135,135,-,-
AIQ,EWS,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,27,137,137,-,-,139,139,139,-,-
AIQ,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,119,157,170,-,-,142,142,142,-,-
AIQ,GEN,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,"₹ 37,500","₹1,08,672",2,"₹ 40,00,000",Info Not Available,292,482,243,-,-,143,143,143,-,-
AIQ,GEN,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,"₹ 12,000","₹49,884",3,"₹ 30,00,000",2300,222,222,222,-,-,144,144,144,-,-
AIQ,OBC,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,242,336,336,-,-,153,153,153,-,-
AIQ,GEN,Delhi,"VMMC, Delhi",OBG,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,460,495,860,-,-,155,155,155,-,-
DU,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,500,500,500,-,-,111,111,163,-,-
DU,GEN,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,714,-,-,-,-,-,164,164,164,-,-
AIQ,GEN,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹ 72,000","₹1,11,780",1,"₹20,00,000",1498,158,158,158,-,-,172,172,172,-,-
AIQ,OBC,Delhi,"ABVIMS , Delhi",RADIO DIAGNOSIS,"₹ 41,000","₹ 1,20,965",0,₹ 0,1626,269,269,269,-,-,173,173,173,-,-
AIQ,GEN,Punjab,"Govt Med Coll, Patiala",DERMATOLOGY,"₹ 1,25,000","₹ 67,968",1,"₹ 10,00,000",1130,1021,1563,1610,-,-,177,177,177,-,-
IP,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,300,300,300,-,-,180,180,180,-,-
AIQ,OBC,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2250,314,324,324,-,-,183,183,183,-,-
AIQ,EWS,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,301,509,509,-,-,194,194,194,-,-
AIQ,EWS,Delhi,"ABVIMS , Delhi",RADIO DIAGNOSIS,"₹ 41,000","₹ 1,20,965",0,₹ 0,1626,-,-,-,-,-,205,205,205,-,-
AIQ,GEN,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹ 11,647","₹ 82,800",2,"₹ 25,00,000",5702,421,448,448,-,-,206,206,206,-,-
AIQ,GEN,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹ 30,000","₹1,00,800",1,"₹ 40,00,000",1557,387,465,465,-,-,221,208,208,-,-
AIQ,GEN,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,"₹ 25,000","₹58,289",1,"₹20,00,000",1200,1213,1565,1565,-,-,209,209,209,-,-
AIQ,OBC,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,374,374,374,-,-,212,212,212,-,-
AIQ,GEN,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,"₹ 34,500","₹ 1,07,000",0,₹0,967,259,259,259,-,-,216,216,216,-,-
AIQ,EWS,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,137,145,145,-,-,218,218,218,-,-
AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,"₹ 1,25,000","₹ 1,00,980",0,₹ 0,2080,346,346,346,-,-,225,225,225,-,-
AIQ,OBC,Uttar Pradesh,"IMS, Varanasi",RADIO DIAGNOSIS,"₹ 48,226","₹ 1,00,706",0,₹0,1165,470,481,481,-,-,228,228,228,-,-
