QUOTA,CATEGORY,STATE,INSTITUTE,COURSE,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7,CR 2025 1
JPMR SO,Open,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",2770,4039,5605,17588,-,-,2949,4558,5668,11154,-,-,-,2633
JPMR SO,EWS,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",5707,7269,9173,17804,-,-,6130,7009,7009,-,-,-,-,5105
JPMR SO,OBC,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",3912,5370,8026,20160,-,-,4175,5610,7747,12863,25087,-,-,3452
JP,Open,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",25786,26208,27803,-,-,-,38742,44403,46213,-,-,-,-,46006
JP,OBC,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",37519,38930,40301,-,-,-,41862,45855,47349,-,-,-,-,50152
JPMR SO,SC,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",29840,41019,60495,102086,-,-,24789,39083,50319,120894,-,-,-,18865
JPMR SO,ST,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",47860,61566,75587,-,-,-,62372,67022,67003,-,-,-,-,46911
JP,SC,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",141853,145304,158485,-,-,-,89312,151839,176249,-,-,-,-,129645
JPMR SO,Open-PwD,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",302502,302502,302502,-,-,-,201258,201258,201258,-,-,-,-,285669
JP,EWS,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",-,-,313157,-,-,-,248038,248038,248038,-,-,-,-,449518
JPMR SO,OBC-PwD,Pondicherry,"JIPMER, Karaikal",MBBS,"₹ 1,200",506,0,₹ 0,"₹26,300",374476,535613,546997,-,-,-,410431,627122,785986,-,-,-,-,476905
JPMR SO,Open,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",277,277,277,-,-,-,350,350,350,-,-,-,-,258
JPMR SO,OBC,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",591,592,592,-,-,-,807,867,867,-,-,-,-,738
JPMR SO,EWS,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",1350,1576,1576,-,-,-,1464,1485,1485,-,-,-,-,1362
JPMR SO,SC,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",3630,3985,3985,-,-,-,6617,6617,6617,-,-,-,-,3877
JPMR SO,ST,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",11584,11584,29335,-,-,-,8697,8697,8697,-,-,-,-,6283
JP,Open,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",10667,10667,10667,-,-,-,22602,28676,28676,87672,-,-,-,20667
JP,OBC,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",29723,31906,32364,-,-,-,36804,38596,38734,-,-,-,-,41317
JPMR SO,Open-PwD,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",49182,49182,49182,-,-,-,140950,140950,140950,-,-,-,-,33869
JP,SC,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",135427,135427,146554,-,-,-,84283,130928,151839,-,-,-,-,125675
JP,EWS,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",245025,245025,245025,-,-,-,155189,155189,155189,-,-,-,-,354130
JPMR SO,EWS-PwD,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",420487,634187,901528,-,-,-,190011,190011,190011,-,-,-,-,479678
JPMR SO,OBC-PwD,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",181657,149377,341996,-,-,-,258535,258535,258535,-,-,-,-,276622
JPMR SO,SC-PwD,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",194647,194647,194647,-,-,-,495793,495793,495793,-,-,-,-,613527
JP,ST,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",-,-,-,-,-,-,702405,702405,702405,-,-,-,-,599794
JPMR SO,ST-PwD,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",708335,708335,708335,-,-,-,-,-,-,-,-,-,-,1238539
JP,Open-PwD,Pondicherry,"JIPMER, Puducherry",MBBS,"₹ 1,200",2059,0,₹ 0,"₹26,300",805855,805855,805855,-,-,-,-,-,-,-,-,-,-,-
AIIMS SO,Open,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",1762,1942,1973,6478,-,15114,1589,1609,1609,-,-,-,-,1733
AIIMS SO,OBC,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",2886,3004,3004,-,-,-,2721,2721,2797,-,-,-,-,2369
AIIMS SO,EWS,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",3428,3959,3959,-,-,-,3603,3603,3603,-,-,-,-,2999
AIIMS SO,SC,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",22191,23271,23271,-,-,-,16961,16961,16961,-,-,-,-,19176
