QUOTA,CATEGORY,STATE,INSTITUTE,COURSE,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1,CR 2023 1,CR 2023 2,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7,CR 2024 8,CR 2025 1,Column-22,,,,,,,
MAHA-Govt-All,NT3,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",5817,5817,3423,3423,2607,-,-,-,-,-,2704,,,,,,,,
MAHA-Govt-HillyArea,NT3,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,3423,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",1962,3272,2191,3363,3689,-,-,-,-,-,971,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",1605,2307,1975,3717,3724,-,-,-,-,-,1361,,,,,,,,
MAHA-Govt-HillyAreaW,OBC,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,4104,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-Defense,DEF1,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",6103,9585,4147,4147,4147,-,-,-,-,-,4805,,,,,,,,
MAHA-Govt-HillyArea,NT2,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,4811,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",4114,7042,4479,5193,5193,-,-,-,-,-,3164,,,,,,,,
MAHA-Govt-AllW,OBC,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",4134,5321,5311,5754,5754,-,-,-,-,-,4306,,,,,,,,
MAHA-Govt-HillyArea,OBC,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",2879,9508,3260,3260,6140,-,-,-,-,-,1026,,,,,,,,
MAHA-Govt-All,OBC,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",4716,5257,5125,6177,6177,-,-,-,-,-,2072,,,,,,,,
MAHA-Govt-HillyArea,VJA,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",53638,53638,-,-,6265,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-All,VJA,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",9738,9738,6265,6400,6400,-,-,-,-,-,6279,,,,,,,,
MAHA-Govt-AllW,NT3,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",4603,4603,6442,6442,6442,-,-,-,-,-,2323,,,,,,,,
MAHA-Govt-HillyArea,NT3,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,6940,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-AllW,NT3,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",-,-,6993,6993,6993,-,-,-,-,-,5003,,,,,,,,
MAHA-Govt-HillyAreaW,EWS,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,7252,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-HillyArea,OPEN,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",2539,9682,7519,7519,7519,-,-,-,-,-,2964,,,,,,,,
MAHA-Govt-All,EWS,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",4408,5071,7673,7673,7673,-,-,-,-,-,6244,,,,,,,,
MAHA-Govt-AllW,SEBC,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",-,-,7598,7945,7945,-,-,-,-,-,5713,,,,,,,,
MAHA-Govt-HillyArea,OBC,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",5366,5366,5680,5680,7990,-,-,-,-,-,3703,,,,,,,,
MAHA-Govt-Defense,DEF3,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",-,-,8071,8071,8071,-,-,-,-,-,15610,,,,,,,,
MAHA-Govt-All,NT2,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",7176,7797,8149,8149,8149,-,-,-,-,-,4275,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",4088,7011,4381,6249,8318,-,-,-,-,-,3342,,,,,,,,
MAHA-Govt-Defense,DEF2,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",-,-,8426,8426,8426,-,-,-,-,-,16147,,,,,,,,
MAHA-Govt-AllW,EWS,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",5302,5683,7252,8485,8485,-,-,-,-,-,3805,,,,,,,,
MAHA-Govt-All,SEBC,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",-,-,6604,6604,8547,-,-,-,-,-,4598,,,,,,,,
