CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,Institute,Course,Quota,Category
-,-,-,39771,-,-,-,-,-,25991,-,"ACSR Medical College, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
16314,29512,85982,-,-,-,-,19178,19178,-,-,"ACSR Medical College, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
-,-,-,-,-,-,-,53643,53643,62059,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS APUR,SC-FEM
-,-,-,-,-,-,-,-,-,-,36410,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS APUR,OPEN-FEM
-,-,-,-,-,-,-,22186,22335,30616,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM
-,-,-,-,-,-,-,22338,22338,30807,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM-PHO
-,32619,-,-,-,-,-,-,22613,34335,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,34641,34641,45334,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN-PHO
21507,-,-,-,-,-,-,29257,29257,49588,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN
-,-,-,-,-,-,-,23439,-,-,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
-,48216,-,-,-,-,-,-,-,-,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-FEM
42519,53081,-,-,-,-,-,-,-,-,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-GEN
23071,44563,70954,-,-,-,-,-,-,-,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-FEM
74119,100404,-,-,-,-,-,-,-,-,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS LOC,ST-GEN
19038,22400,-,-,-,-,-,-,-,-,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS UNR,OPEN-GEN
-,-,-,-,-,-,-,-,165775,-,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCB-GEN
-,136490,135302,-,-,-,-,-,-,-,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCD-FEM
-,167476,-,-,-,-,-,-,-,-,-,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-Serv UNR,BCB-FEM
-,-,-,-,-,-,-,62989,64838,74807,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS APUR,ST-GEN
9405,-,-,-,-,-,-,-,-,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS APUR,BCB-GEN
-,24814,-,-,-,-,-,-,-,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS APUR,BCD-GEN
12984,21507,-,-,-,-,-,10840,12824,14985,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,20402,20402,23439,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-FEM
14016,27384,-,-,-,-,-,-,-,24401,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
14922,-,-,-,-,-,-,19032,19347,26898,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-GEN
-,-,-,-,-,-,-,-,31427,31427,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCE-GEN-PHO
-,-,-,-,-,-,-,34866,34866,34866,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-FEM
-,-,-,-,-,-,-,16774,-,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN
-,-,-,-,-,-,-,31427,-,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCE-FEM-PHO
11846,14016,-,-,-,-,-,-,-,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM
